time, Azimuth, channel 5 distance, channel5 X, channel5 Y, channel5 Z, error
0.111350, 356.076667, 5.028000, -0.344024, 5.016217, 0.000000, 0.016217
0.111705, 356.176667, 5.024000, -0.335002, 5.012819, 0.000000, 0.012819
0.111990, 356.276667, 5.032000, -0.326772, 5.021379, 0.000000, 0.021379
0.112261, 356.376667, 5.008000, -0.316490, 4.997989, 0.000000, -0.002011
0.112534, 356.476667, 5.020000, -0.308504, 5.010511, 0.000000, 0.010511
0.112793, 356.578333, 5.012000, -0.299135, 5.003065, 0.000000, 0.003065
0.113064, 356.685000, 5.020000, -0.290283, 5.011600, 0.000000, 0.011600
0.113322, 356.778333, 5.012000, -0.281670, 5.004079, 0.000000, 0.004079
0.113592, 356.885000, 4.996000, -0.271484, 4.988618, 0.000000, -0.011382
0.118807, 356.976667, 5.012000, -0.264346, 5.005024, 0.000000, 0.005024
0.119237, 357.076667, 5.004000, -0.255202, 4.997488, 0.000000, -0.002512
0.120647, 357.176667, 5.008000, -0.246677, 5.001921, 0.000000, 0.001921
0.121011, 357.276667, 5.004000, -0.237756, 4.998349, 0.000000, -0.001651
0.121330, 357.376667, 4.996000, -0.228666, 4.990764, 0.000000, -0.009236
0.121635, 357.476667, 5.008000, -0.220483, 5.003144, 0.000000, 0.003144
0.121915, 357.576667, 5.000000, -0.211413, 4.995528, 0.000000, -0.004472
0.122258, 357.676667, 5.004000, -0.202856, 4.999887, 0.000000, -0.000113
0.122538, 357.776667, 4.996000, -0.193819, 4.992239, 0.000000, -0.007761
0.122813, 357.876667, 4.996000, -0.185105, 4.992570, 0.000000, -0.007430
0.123090, 357.976667, 4.984000, -0.175968, 4.980893, 0.000000, -0.019107
0.123363, 358.076667, 5.004000, -0.167945, 5.001181, 0.000000, 0.001181
0.123781, 358.176667, 5.000000, -0.159089, 4.997468, 0.000000, -0.002532
0.124108, 358.276667, 5.000000, -0.150367, 4.997738, 0.000000, -0.002262
0.125516, 358.376667, 4.984000, -0.141190, 4.982000, 0.000000, -0.018000
0.125800, 358.475000, 4.988000, -0.132746, 4.986233, 0.000000, -0.013767
0.126132, 358.676667, 4.988000, -0.115195, 4.986670, 0.000000, -0.013330
0.126415, 358.776667, 4.988000, -0.106492, 4.986863, 0.000000, -0.013137
0.126691, 358.876667, 4.980000, -0.097631, 4.979043, 0.000000, -0.020957
0.126980, 358.976667, 4.996000, -0.089226, 4.995203, 0.000000, -0.004797
0.127265, 359.076667, 4.988000, -0.080379, 4.987352, 0.000000, -0.012648
0.127538, 359.176667, 4.988000, -0.071674, 4.987485, 0.000000, -0.012515
0.127810, 359.275000, 4.996000, -0.063216, 4.995600, 0.000000, -0.004400
0.128134, 359.366667, 4.980000, -0.055047, 4.979696, 0.000000, -0.020304
0.128468, 359.466667, 4.988000, -0.046430, 4.987784, 0.000000, -0.012216
0.129837, 359.566667, 4.996000, -0.037785, 4.995857, 0.000000, -0.004143
0.130172, 359.666667, 5.000000, -0.029089, 4.999915, 0.000000, -0.000085
0.130451, 359.766667, 4.988000, -0.020313, 4.987959, 0.000000, -0.012041
0.130739, 359.866667, 4.980000, -0.011589, 4.979987, 0.000000, -0.020013
0.131035, 359.966667, 4.996000, -0.002907, 4.995999, 0.000000, -0.004001
0.131307, 0.066667, 4.988000, 0.005804, 4.987997, 0.000000, -0.012003
0.131594, 0.166667, 4.996000, 0.014533, 4.995979, 0.000000, -0.004021
0.131866, 0.266667, 4.984000, 0.023197, 4.983946, 0.000000, -0.016054
0.132183, 0.366667, 4.996000, 0.031972, 4.995898, 0.000000, -0.004102
0.132456, 0.466667, 5.000000, 0.040724, 4.999834, 0.000000, -0.000166
0.132731, 0.566667, 4.996000, 0.049411, 4.995756, 0.000000, -0.004244
0.133001, 0.666667, 4.980000, 0.057944, 4.979663, 0.000000, -0.020337
0.134411, 0.766667, 4.992000, 0.066795, 4.991553, 0.000000, -0.008447
0.134697, 0.866667, 4.996000, 0.075568, 4.995428, 0.000000, -0.004572
0.134974, 0.966667, 4.996000, 0.084286, 4.995289, 0.000000, -0.004711
0.135248, 1.066667, 4.996000, 0.093004, 4.995134, 0.000000, -0.004866
0.135521, 1.166667, 4.988000, 0.101560, 4.986966, 0.000000, -0.013034
0.135796, 1.266667, 4.992000, 0.110352, 4.990780, 0.000000, -0.009220
0.136124, 1.366667, 4.984000, 0.118871, 4.982582, 0.000000, -0.017418
0.136402, 1.465000, 4.984000, 0.127422, 4.982371, 0.000000, -0.017629
0.136677, 1.556667, 4.988000, 0.135502, 4.986159, 0.000000, -0.013841
0.136949, 1.656667, 4.992000, 0.144320, 4.989913, 0.000000, -0.010087
0.137254, 1.756667, 4.988000, 0.152906, 4.985656, 0.000000, -0.014344
0.137530, 1.856667, 4.988000, 0.161608, 4.985381, 0.000000, -0.014619
0.138913, 1.956667, 4.988000, 0.170308, 4.985092, 0.000000, -0.014908
0.139195, 2.056667, 4.996000, 0.179296, 4.992782, 0.000000, -0.007218
0.139472, 2.156667, 4.992000, 0.187859, 4.988464, 0.000000, -0.011536
0.139749, 2.255000, 4.996000, 0.196578, 4.992131, 0.000000, -0.007869
0.140076, 2.348333, 4.988000, 0.204382, 4.983811, 0.000000, -0.016189
0.140352, 2.456667, 4.984000, 0.213633, 4.979419, 0.000000, -0.020581
0.140639, 2.556667, 4.996000, 0.222859, 4.991027, 0.000000, -0.008973
0.140937, 2.655000, 4.996000, 0.231424, 4.990637, 0.000000, -0.009363
0.141230, 2.746667, 4.996000, 0.239408, 4.990260, 0.000000, -0.009740
0.141516, 2.846667, 4.984000, 0.247522, 4.977850, 0.000000, -0.022150
0.141834, 2.946667, 5.000000, 0.257032, 4.993389, 0.000000, -0.006611
0.142113, 3.046667, 5.000000, 0.265747, 4.992933, 0.000000, -0.007067
0.143457, 3.146667, 5.000000, 0.274460, 4.992461, 0.000000, -0.007539
0.143748, 3.246667, 4.992000, 0.282720, 4.983988, 0.000000, -0.016012
0.144094, 3.346667, 4.988000, 0.291185, 4.979493, 0.000000, -0.020507
0.144370, 3.446667, 4.996000, 0.300357, 4.986963, 0.000000, -0.013037
0.144644, 3.546667, 5.004000, 0.309555, 4.994416, 0.000000, -0.005584
0.144968, 3.646667, 5.000000, 0.318017, 4.989876, 0.000000, -0.010124
0.145258, 3.746667, 5.008000, 0.327248, 4.997297, 0.000000, -0.002703
0.145553, 3.846667, 4.996000, 0.335165, 4.984745, 0.000000, -0.015255
0.145818, 3.946667, 5.000000, 0.344139, 4.988143, 0.000000, -0.011857
0.323428, 356.085000, 5.024000, -0.343021, 5.012276, 0.000000, 0.012276
0.323729, 356.178333, 5.016000, -0.334323, 5.004846, 0.000000, 0.004846
0.323992, 356.285000, 5.008000, -0.324486, 4.997477, 0.000000, -0.002523
0.324245, 356.376667, 5.016000, -0.316996, 5.005973, 0.000000, 0.005973
0.324510, 356.476667, 5.016000, -0.308258, 5.006519, 0.000000, 0.006519
0.324765, 356.578333, 5.024000, -0.299852, 5.015044, 0.000000, 0.015044
0.325016, 356.688333, 5.012000, -0.289530, 5.003630, 0.000000, 0.003630
0.326229, 356.778333, 5.008000, -0.281445, 5.000085, 0.000000, 0.000085
0.326487, 356.885000, 5.012000, -0.272353, 5.004595, 0.000000, 0.004595
0.326740, 356.978333, 5.012000, -0.264201, 5.005032, 0.000000, 0.005032
0.327003, 357.086667, 5.012000, -0.254737, 5.005522, 0.000000, 0.005522
0.327261, 357.186667, 5.004000, -0.245607, 4.997969, 0.000000, -0.002031
0.327512, 357.285000, 5.004000, -0.237029, 4.998383, 0.000000, -0.001617
0.327762, 357.376667, 5.004000, -0.229032, 4.998756, 0.000000, -0.001244
0.328010, 357.476667, 5.008000, -0.220483, 5.003144, 0.000000, 0.003144
0.328263, 357.576667, 5.004000, -0.211582, 4.999525, 0.000000, -0.000475
0.328526, 357.676667, 5.000000, -0.202694, 4.995890, 0.000000, -0.004110
